timestamp_utc,payments_rss_kb,pos_rss_kb
2026-09-18T06:46:11Z,37120,148064
2026-09-18T06:46:26Z,37152,159984
2026-09-18T06:46:41Z,34704,116016
2026-09-18T06:46:56Z,36512,172048
2026-09-18T06:47:11Z,40048,122272
2026-09-18T06:47:26Z,40400,140752
2026-09-18T06:47:42Z,38032,60640
2026-09-18T06:47:57Z,38608,105344
2026-09-18T06:48:12Z,41248,126672
2026-09-18T06:48:27Z,38112,67856
2026-09-18T06:48:42Z,43680,159024
2026-09-18T06:48:57Z,41872,136544
2026-09-18T06:49:12Z,35456,122752
2026-09-18T06:49:27Z,39408,139840
2026-09-18T06:49:42Z,73824,33504
2026-09-18T06:49:57Z,34176,121776
2026-09-18T06:50:12Z,43008,170352
2026-09-18T06:50:27Z,47472,171744
2026-09-18T06:50:42Z,32368,53680
2026-09-18T06:50:57Z,29168,46176
2026-09-18T06:51:12Z,36576,65888
2026-09-18T06:51:27Z,32800,124112
2026-09-18T06:51:42Z,26336,71072
2026-09-18T06:51:57Z,26960,48624
2026-09-18T06:52:12Z,31120,100800
2026-09-18T06:52:27Z,36592,158384
2026-09-18T06:52:42Z,84288,173888
2026-09-18T06:52:57Z,65280,206656
2026-09-18T06:53:12Z,64464,188560
2026-09-18T06:53:27Z,65856,208336
2026-09-18T06:53:42Z,31600,51632
2026-09-18T06:53:57Z,26208,52992
2026-09-18T06:54:12Z,25984,116256
2026-09-18T06:54:28Z,57440,53984
2026-09-18T06:54:43Z,31088,51408
2026-09-18T06:54:58Z,26256,74288
2026-09-18T06:55:13Z,23936,38560
2026-09-18T06:55:28Z,17504,34288
2026-09-18T06:55:43Z,19952,49776
2026-09-18T06:55:58Z,27232,99472
2026-09-18T06:56:13Z,22464,109328
2026-09-18T06:56:28Z,27248,113328
2026-09-18T06:56:43Z,29600,193536
2026-09-18T06:56:58Z,26384,53552
2026-09-18T06:57:13Z,30816,56144
2026-09-18T06:57:28Z,27856,64800
2026-09-18T06:57:43Z,24336,45248
2026-09-18T06:57:58Z,36992,107808
2026-09-18T06:58:13Z,34480,63472
2026-09-18T06:58:28Z,35296,57568
2026-09-18T06:58:43Z,38352,109984
2026-09-18T06:58:58Z,37152,154144
2026-09-18T06:59:13Z,29168,75120
2026-09-18T06:59:28Z,22544,44048
2026-09-18T06:59:43Z,34128,76064
2026-09-18T06:59:58Z,83184,67632
2026-09-18T07:00:13Z,29392,107024
2026-09-18T07:00:28Z,24768,124736
2026-09-18T07:00:43Z,23440,85200
2026-09-18T07:00:58Z,51456,187904
2026-09-18T07:01:13Z,69616,220144
2026-09-18T07:01:28Z,93792,219104
